
0000001, 2020/12/28, Uscita, Segreteria Alunni, test
0000112, 2021/1/1, Entrata, Segreteria Alunni, TEST DATA
0000001, 2021/1/1, Uscita, Segreteria Alunni, OGGETTO TEST
0000001, 2021/1/1, Uscita, Segreteria Alunni, prova
0000023, 2021/1/2, Entrata, Segreteria docenti, OGGETTO DI PROVA
0000001, 2021/1/2, Entrata, Segreteria docenti, PROVA2
0000002, 2021/1/2, Uscita, Presidenza, PROVA3
0000023, 2021/1/2, Uscita, Segreteria Alunni, TEST OGGETTO
0000024, 2021/1/2, Uscita, Segreteria Alunni, TESTOGG
0000025, 2021/1/2, Uscita, Segreteria Alunni, PROVA
0000026, 2021/1/2, Uscita, Segreteria Alunni, DSVFSVFSV
0000027, 2021/1/2, Uscita, Segreteria Alunni, TESTAAAAAA
0000001, 2021/1/2, Uscita, Presidenza, vjdisuhvbsfvihusb
0000002, 2021/1/2, Uscita, Segreteria Alunni, vhdhbvjhdubv
0000001, 2021/1/2, Uscita, Segreteria Alunni, test
0000002, 2021/1/2, Entrata, Segreteria Alunni, Ãprova
0000003, 2021/1/2, Uscita, Segreteria Alunni, jcbnsdubv
0000001, 2021/1/2, Entrata, Presidenza, ckjhgfcvbcna
